TeamID,TeamName,School,FirstD1Season,LastD1Season
1101,Abilene Chr,Abilene Chr,2014,2019
1102,Air Force,Air Force,1985,2019
1103,Akron,Akron,1985,2019
1104,Alabama,Alabama,1985,2019
1105,Alabama A&M,Alabama A&M,2000,2019
1106,Alabama St,Alabama St,1985,2019
1107,Albany NY,Albany NY,2000,2019
1108,Alcorn St,Alcorn St,1985,2019
1109,Alliant Intl,Alliant Intl,1985,1991
1110,American Univ,American Univ,1985,2019
1111,Appalachian St,Appalachian St,1985,2019
1112,Arizona,Arizona,1985,2019
1113,Arizona St,Arizona St,1985,2019
1114,Ark Little Rock,Ark Little Rock,1985,2019
1115,Ark Pine Bluff,Ark Pine Bluff,1999,2019
1116,Arkansas,Arkansas,1985,2019
1117,Arkansas St,Arkansas St,1985,2019
1118,Armstrong St,Armstrong St,1987,1987
1119,Army,Army,1985,2019
1120,Auburn,Auburn,1985,2019
1121,Augusta,Augusta,1985,1991
1122,Austin Peay,Austin Peay,1985,2019
1123,Ball St,Ball St,1985,2019
1124,Baylor,Baylor,1985,2019
1125,Belmont,Belmont,2000,2019
1126,Bethune-Cookman,Bethune-Cookman,1985,2019
1127,Binghamton,Binghamton,2002,2019
1128,Birmingham So,Birmingham So,2003,2006
1129,Boise St,Boise St,1985,2019
1130,Boston College,Boston College,1985,2019
1131,Boston Univ,Boston Univ,1985,2019
1132,Bowling Green,Bowling Green,1985,2019
1133,Bradley,Bradley,1985,2019
1134,Brooklyn,Brooklyn,1985,1992
1135,Brown,Brown,1985,2019
1136,Bryant,Bryant,2009,2019
1137,Bucknell,Bucknell,1985,2019
1138,Buffalo,Buffalo,1992,2019
1139,Butler,Butler,1985,2019
1140,BYU,Brigham Young,1985,2019
1141,C Michigan,C Michigan,1985,2019
1142,Cal Poly SLO,Cal Poly SLO,1995,2019
1143,California,California,1985,2019
1144,Campbell,Campbell,1985,2019
1145,Canisius,Canisius,1985,2019
1146,Cent Arkansas,Cent Arkansas,2007,2019
1147,Centenary,Centenary,1985,2011
1148,Central Conn,Central Conn,1987,2019
1149,Charleston So,Charleston So,1985,2019
1150,Charlotte,Charlotte,1985,2019
1151,Chattanooga,Chattanooga,1985,2019
1152,Chicago St,Chicago St,1985,2019
1153,Cincinnati,Cincinnati,1985,2019
1154,Citadel,Citadel,1985,2019
1155,Clemson,Clemson,1985,2019
1156,Cleveland St,Cleveland St,1985,2019
1157,Coastal Car,Coastal Car,1987,2019
1158,Col Charleston,Col Charleston,1992,2019
1159,Colgate,Colgate,1985,2019
1160,Colorado,Colorado,1985,2019
1161,Colorado St,Colorado St,1985,2019
1162,Columbia,Columbia,1985,2019
1163,Connecticut,Connecticut,1985,2019
1164,Coppin St,Coppin St,1986,2019
1165,Cornell,Cornell,1985,2019
1166,Creighton,Creighton,1985,2019
1167,CS Bakersfield,Cal State Bakersfield,2008,2019
1168,CS Fullerton,Cal State Fullerton,1985,2019
